name,path,split,family,N,c,click_density,replicate,instance_seed,target_sha256,guaranteed_solvable,witness_total_clicks,known_upper_bound
pilot_n03_c02_witness_d150_r000,pilot/witness/n03_c02/pilot_n03_c02_witness_d150_r000.json,pilot,witness,3,2,0.15,0,9787743416912502355,f4de4673734e939f3628b952b1c812b13d622a90afe4ccfa57ff8336dd1ce9a5,True,1,1
pilot_n03_c02_witness_d400_r000,pilot/witness/n03_c02/pilot_n03_c02_witness_d400_r000.json,pilot,witness,3,2,0.4,0,6871634195705075075,498981a205416f21335c7aa24993b9565869e33f433f626e6fa7a43367c66a0a,True,4,4
pilot_n03_c02_uniform_r000,pilot/uniform/n03_c02/pilot_n03_c02_uniform_r000.json,pilot,uniform,3,2,,0,6221604510521220252,281772b6d12b3e6015e57a98c53b1c424dc8a78a7c22873fa88d5423792c5a00,False,,
pilot_n03_c03_witness_d150_r000,pilot/witness/n03_c03/pilot_n03_c03_witness_d150_r000.json,pilot,witness,3,3,0.15,0,3198999476842975380,4f1120d378ca2fc643c583956cc863e762c33b5d137dfebe2a1a9af4af870cea,True,2,2
pilot_n03_c03_witness_d400_r000,pilot/witness/n03_c03/pilot_n03_c03_witness_d400_r000.json,pilot,witness,3,3,0.4,0,17566075661721413225,49b879a47158accf1a476ad2c22818cf69ac812c22930be3b00dc76dbba87018,True,5,5
pilot_n03_c03_uniform_r000,pilot/uniform/n03_c03/pilot_n03_c03_uniform_r000.json,pilot,uniform,3,3,,0,14409529097522524054,caee588515dafcb050aa77f69ed02bf9b0d1c86860cda41c0d9e2fa4b48dcaa5,False,,
pilot_n04_c02_witness_d150_r000,pilot/witness/n04_c02/pilot_n04_c02_witness_d150_r000.json,pilot,witness,4,2,0.15,0,11086950146830766117,2f59c9d432890f4018a39899a0b8898c5092369a74c769a30601170bfe2c480d,True,2,2
pilot_n04_c02_witness_d400_r000,pilot/witness/n04_c02/pilot_n04_c02_witness_d400_r000.json,pilot,witness,4,2,0.4,0,4885625564848957910,08e93d76b96080e5ea440a24e73698b64f57337e27aef67d7d7a0336119f5d7b,True,6,6
pilot_n04_c02_uniform_r000,pilot/uniform/n04_c02/pilot_n04_c02_uniform_r000.json,pilot,uniform,4,2,,0,2398825909726046711,5750fd6b529bb58eb9ece61993865f15c037d03e74643ec77a8473beaeb460c0,False,,
pilot_n04_c03_witness_d150_r000,pilot/witness/n04_c03/pilot_n04_c03_witness_d150_r000.json,pilot,witness,4,3,0.15,0,2734637259672347984,3b7265b0811647c43ac131397b9fc8cfa580c365f832ad8083edda995bb920f4,True,3,3
pilot_n04_c03_witness_d400_r000,pilot/witness/n04_c03/pilot_n04_c03_witness_d400_r000.json,pilot,witness,4,3,0.4,0,5121773147144650223,0c8d91babe14deafb9343b0d5d6a66212abaa740e9b88ab29aca36b77c1acbc0,True,11,11
